ACCTTYPE,SF,X,Y
Industrial,4000,-104.7591991,40.36564929
Industrial,1680,-104.8629304,40.4002826
Commercial,1196,-104.8643416,40.40003299
Commercial,3360,-104.8657549,40.40346023
Residential,2315,-104.6690947,40.40901849
Residential,1512,-104.7672563,40.11355029
Residential,2887,-104.7656847,40.10230489
Residential,1456,-104.7513235,40.10619402
Residential,6400,-104.7513204,40.10416339
Residential,112,-104.7465196,40.10869758
Residential,1225,-104.7457576,40.10884453
Residential,240,-104.7449806,40.10824965
Residential,1663,-104.747219,40.10694522
Residential,1229,-104.7846391,40.08193183
Residential,820,-104.7839455,40.08295779
Residential,1285,-104.7839233,40.08352274
Residential,1285,-104.7840027,40.0833203
Residential,1285,-104.7841869,40.08319656
Residential,876,-104.7844281,40.08306381
Residential,800,-104.7849799,40.08276752
Residential,876,-104.7854958,40.08278944
Residential,2255,-104.7857262,40.0829095
Residential,1726,-104.7846679,40.0834493
Residential,2079,-104.7848557,40.08336929
Residential,1066,-104.7850556,40.08329248
Residential,2255,-104.7852964,40.08320031
Residential,1040,-104.7855039,40.08356375
Residential,1742,-104.7849992,40.08363868
Residential,936,-104.7848154,40.08410584
Residential,936,-104.7850354,40.08406037
Residential,1080,-104.785235,40.08401478
Residential,1285,-104.785455,40.08396931
Residential,936,-104.7856588,40.08390813
Residential,1285,-104.7858587,40.0838438
Residential,1285,-104.7860504,40.08377943
Residential,2402,-104.786242,40.08372441
Residential,2195,-104.9647184,40.18707042
Residential,1440,-104.9645865,40.18607293
Residential,1088,-104.964913,40.18736456
Residential,1978,-104.9649788,40.18753644
Residential,2703,-104.9650016,40.18795404
Residential,1636,-104.9649835,40.18811012
Residential,2384,-104.9649059,40.18826529
Residential,3200,-104.9649457,40.18841989
Residential,2090,-104.9666618,40.18894371
Residential,3534,-104.9668522,40.18894622
Commercial,1579,-104.9271249,40.1487282
Residential,1747,-104.7326896,40.51688556
Residential,2549,-104.9562455,40.05362392
Commercial,2880,-104.9595499,40.0538179
Residential,2393,-104.865787,40.40136468
Residential,1999,-104.7166732,40.36802674
Residential,1221,-104.7161555,40.36796605
Residential,1950,-104.7246198,40.36869108
Residential,1942,-104.724615,40.36883164
Residential,1632,-104.7246105,40.36922928
Residential,1280,-104.724598,40.36950527
Residential,1461,-104.7246026,40.36965038
Residential,1742,-104.724648,40.36731155
Residential,1765,-104.7246433,40.36745211
Residential,1792,-104.7246387,40.36757838
Residential,864,-104.7246433,40.36772349
Residential,1280,-104.7246262,40.36812574
Residential,1461,-104.7246308,40.36827085
Residential,1862,-104.7236793,40.36729682
Residential,1185,-104.7236683,40.36743496
Residential,1892,-104.7236667,40.36758031
Residential,480,-104.723659,40.3677054
Residential,1461,-104.7236574,40.36785075
Residential,1320,-104.7236589,40.36798192
Residential,1094,-104.7236573,40.36812727
Residential,1586,-104.7236496,40.36825237
Residential,1768,-104.723648,40.36839771
Residential,1768,-104.7242478,40.36743407
Residential,1906,-104.7242461,40.36757942
Residential,1764,-104.7242385,40.36770452
Residential,1756,-104.7242384,40.36798103
Residential,1808,-104.7242368,40.36812638
Residential,1338,-104.7242275,40.36839683
Residential,1500,-104.7242335,40.36868501
Vacant Land,2112,-104.7242226,40.36882315
Residential,1464,-104.7242133,40.3690936
Residential,5625,-104.7242116,40.36923894
Residential,1837,-104.7242132,40.36937011
Residential,1546,-104.7242115,40.36951546
Residential,3050,-104.7242039,40.36964056
Residential,2136,-104.7242022,40.36978591
Residential,1764,-104.7237068,40.36869836
Residential,1216,-104.7237023,40.36881986
Residential,1848,-104.7237131,40.36897244
Residential,1080,-104.7237117,40.36909396
Residential,224,-104.7236758,40.36923431
Residential,1200,-104.7236865,40.36938689
Residential,1400,-104.7236851,40.36950841
Residential,1400,-104.820848,40.4349983
Residential,280,-104.7175333,40.0276578
Residential,280,-104.7175311,40.02752148
Agricultural,2084,-104.7175365,40.02737281
Residential,4586,-104.718028,40.027652
Agricultural,3200,-104.7180258,40.02751567
Residential,2500,-104.7180312,40.027367
Residential,3750,-104.7184197,40.02851823
Residential,2500,-104.7183823,40.02821199
Residential,3750,-104.7183771,40.0283435
Residential,4375,-104.7183728,40.02806894
Residential,4375,-104.7183697,40.02737322
Residential,2500,-104.7183718,40.02751621
Residential,3240,-104.7183701,40.02765919
Residential,4260,-104.7183722,40.02779727
Residential,1064,-104.7188754,40.02771122
Residential,2400,-104.7188773,40.0278636
Residential,8100,-104.7188755,40.02802659
Residential,2856,-104.719227,40.02786311
Residential,972,-104.7192289,40.02802612
Residential,14345,-104.7192343,40.02819774
